id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_category
2539,clean & quiet apt home by the park,2787,john,brooklyn,kensington,40.64749,-73.97237,private room,149,1,9,2018-10-19,0.21,6,365,Medium
2595,skylit midtown castle,2845,jennifer,manhattan,midtown,40.75362,-73.98377,entire home/apt,225,1,45,2019-05-21,0.38,2,355,Medium
3647,the village of harlem....new york !,4632,elisabeth,manhattan,harlem,40.80902,-73.9419,private room,150,3,0,,0.0,1,365,Medium
3831,cozy entire floor of brownstone,4869,lisaroxanne,brooklyn,clinton hill,40.68514,-73.95976,entire home/apt,89,1,270,2019-07-05,4.64,1,194,Budget
5022,entire apt: spacious studio/loft by central park,7192,laura,manhattan,east harlem,40.79851,-73.94399,entire home/apt,80,10,9,2018-11-19,0.1,1,0,Budget
5099,large cozy 1 br apartment in midtown east,7322,chris,manhattan,murray hill,40.74767,-73.975,entire home/apt,200,3,74,2019-06-22,0.59,1,129,Medium
5178,large furnished room near b'way,8967,shunichi,manhattan,hell's kitchen,40.76489,-73.98493,private room,79,2,430,2019-06-24,3.47,1,220,Budget
5203,cozy clean guest room - family apt,7490,maryellen,manhattan,upper west side,40.80178,-73.96723,private room,79,2,118,2017-07-21,0.99,1,0,Budget
5238,cute & cozy lower east side 1 bdrm,7549,ben,manhattan,chinatown,40.71344,-73.99037,entire home/apt,150,1,160,2019-06-09,1.33,4,188,Medium
5295,beautiful 1br on upper west side,7702,lena,manhattan,upper west side,40.80316,-73.96545,entire home/apt,135,5,53,2019-06-22,0.43,1,6,Medium
5441,central manhattan/near broadway,7989,kate,manhattan,hell's kitchen,40.76076,-73.98867,private room,85,2,188,2019-06-23,1.5,1,39,Budget
5803,"lovely room 1, garden, best area, legal rental",9744,laurie,brooklyn,south slope,40.66829,-73.98779,private room,89,4,167,2019-06-24,1.34,3,314,Budget
6021,wonderful guest bedroom in manhattan for singles,11528,claudio,manhattan,upper west side,40.79826,-73.96113,private room,85,2,113,2019-07-05,0.91,1,333,Budget
6848,only 2 stops to manhattan studio,15991,allen & irina,brooklyn,williamsburg,40.70837,-73.95352,entire home/apt,140,2,148,2019-06-29,1.2,1,46,Medium
7097,perfect for your parents + garden,17571,jane,brooklyn,fort greene,40.69169,-73.97185,entire home/apt,215,2,198,2019-06-28,1.72,1,321,Medium
7322,chelsea perfect,18946,doti,manhattan,chelsea,40.74192,-73.99501,private room,140,1,260,2019-07-01,2.12,1,12,Medium
7726,hip historic brownstone apartment with backyard,20950,adam and charity,brooklyn,crown heights,40.67592,-73.94694,entire home/apt,99,3,53,2019-06-22,4.44,1,21,Budget
7750,huge 2 br upper east  cental park,17985,sing,manhattan,east harlem,40.79685,-73.94872,entire home/apt,190,7,0,,0.0,2,249,Medium
7801,sweet and spacious brooklyn loft,21207,chaya,brooklyn,williamsburg,40.71842,-73.95718,entire home/apt,299,3,9,2011-12-28,0.07,1,0,Luxury
8024,cbg ctybgd helpshaiti rm#1:1-4,22486,lisel,brooklyn,park slope,40.68069,-73.97706,private room,130,2,130,2019-07-01,1.09,6,347,Medium
8025,cbg helps haiti room#2.5,22486,lisel,brooklyn,park slope,40.67989,-73.97798,private room,80,1,39,2019-01-01,0.37,6,364,Budget
8110,cbg helps haiti rm #2,22486,lisel,brooklyn,park slope,40.68001,-73.97865,private room,110,2,71,2019-07-02,0.61,6,304,Medium
8490,"maison des sirenes1,bohemian apartment",25183,nathalie,brooklyn,bedford-stuyvesant,40.68371,-73.94028,entire home/apt,120,2,88,2019-06-19,0.73,2,233,Medium
8505,sunny bedroom across prospect park,25326,gregory,brooklyn,windsor terrace,40.65599,-73.97519,private room,60,1,19,2019-06-23,1.37,2,85,Budget
8700,magnifique suite au n de manhattan - vue cloitres,26394,claude & sophie,manhattan,inwood,40.86754,-73.92639,private room,80,4,0,,0.0,1,0,Budget
9357,midtown pied-a-terre,30193,tommi,manhattan,hell's kitchen,40.76715,-73.98533,entire home/apt,150,10,58,2017-08-13,0.49,1,75,Medium
9518,"spacious, lovely furnished manhattan bedroom",31374,shon,manhattan,inwood,40.86482,-73.92106,private room,44,3,108,2019-06-15,1.11,3,311,Budget
9668,front room/double bed,32294,ssameer or trip,manhattan,harlem,40.82245,-73.95104,private room,50,3,242,2019-06-01,2.04,3,355,Budget
9704,spacious 1 bedroom in luxe building,32045,teri,manhattan,harlem,40.81305,-73.95466,private room,52,2,88,2019-06-14,1.42,1,255,Budget
9782,loft in williamsburg area w/ roof,32169,andrea,brooklyn,greenpoint,40.72219,-73.93762,private room,55,4,197,2019-06-15,1.65,3,284,Budget
9783,back room/bunk beds,32294,ssameer or trip,manhattan,harlem,40.8213,-73.95318,private room,50,3,273,2019-07-01,2.37,3,359,Budget
10452,large b&b style rooms,35935,angela,brooklyn,bedford-stuyvesant,40.6831,-73.95473,private room,70,1,74,2019-05-12,0.66,2,269,Budget
10962,"lovely room 2 & garden; best area, legal rental",9744,laurie,brooklyn,south slope,40.66869,-73.9878,private room,89,4,168,2019-06-21,1.41,3,340,Budget
11708,cute apt in artist's home,44145,tyrome,brooklyn,bushwick,40.70186,-73.92745,entire home/apt,85,2,231,2019-06-22,1.96,2,22,Budget
11943,country space in the city,45445,harriet,brooklyn,flatbush,40.63702,-73.96327,private room,150,1,0,,0.0,1,365,Medium
12048,lowereastside apt share shortterm 1,7549,ben,manhattan,lower east side,40.71401,-73.98917,shared room,40,1,214,2019-07-05,1.81,4,188,Budget
12192,enjoy downtown nyc!,46978,edward,manhattan,east village,40.7229,-73.98199,private room,68,2,245,2019-06-21,2.08,2,96,Budget
12299,beautiful sunny park slope brooklyn,47610,abdul,brooklyn,south slope,40.66278,-73.97966,entire home/apt,120,3,15,2019-05-27,0.39,1,345,Medium
12303,1bdr w private bath. in lofty apt,47618,yolande,brooklyn,fort greene,40.69673,-73.97584,private room,120,7,25,2018-09-30,0.23,1,311,Medium
12318,west side retreat,16800,cyn,manhattan,upper west side,40.79009,-73.97927,private room,135,4,81,2019-06-16,0.69,1,273,Medium
12343,best bet in harlem,47727,earl,manhattan,harlem,40.81175,-73.94478,entire home/apt,150,7,97,2019-06-13,0.84,1,309,Medium
12937,"1 stop fr. manhattan! private suite,landmark block",50124,orestes,queens,long island city,40.74771,-73.9474,private room,130,3,248,2019-07-01,2.25,1,215,Medium
12940,charming brownstone 3 - near pratt,50148,adreinne,brooklyn,bedford-stuyvesant,40.68111,-73.95591,entire home/apt,110,7,61,2019-05-25,0.52,1,265,Medium
13050,bright and stylish duplex,50846,jennifer,brooklyn,bedford-stuyvesant,40.68554,-73.9409,entire home/apt,115,3,11,2017-01-01,0.1,1,0,Medium
13394,fort greene brownstone,52335,alexander,brooklyn,fort greene,40.69142,-73.97376,private room,80,3,135,2019-06-17,1.16,2,192,Budget
13808,blue room for 2 in brownstone for $1350 monthly,54275,jt and tiziana,brooklyn,bedford-stuyvesant,40.68043,-73.93934,private room,80,1,112,2019-06-16,1.01,3,251,Budget
14287,cozy 1bd on central park west in new york city,56094,joya,manhattan,upper west side,40.78635,-73.97008,entire home/apt,151,2,73,2019-07-07,0.63,1,302,Medium
14290,* original brooklyn loft *,56104,james,brooklyn,williamsburg,40.7042,-73.9356,entire home/apt,228,3,82,2019-05-17,0.7,1,140,Medium
14314,greenpoint place...has it all!,56246,jeanne,brooklyn,greenpoint,40.73506,-73.95392,entire home/apt,144,2,328,2019-06-29,2.82,1,234,Medium
14322,beautiful apartment in manhattan!!!,56284,francesca,manhattan,kips bay,40.73961,-73.98074,entire home/apt,200,7,19,2019-03-25,0.22,1,257,Medium
14991,"great location, manhattan bedroom!",59023,bianca,manhattan,lower east side,40.72004,-73.99104,private room,110,5,19,2019-05-18,0.17,1,301,Medium
15220,best location in nyc! times square!,59734,luiz,manhattan,hell's kitchen,40.75531,-73.99293,private room,69,2,289,2019-06-09,2.49,2,294,Budget
15338,room in greenpoint loft w/ roof,32169,andrea,brooklyn,greenpoint,40.72401,-73.93788,private room,49,4,138,2019-06-04,1.19,3,320,Budget
15385,"very, very cozy place",60252,cristina,brooklyn,williamsburg,40.71185,-73.96204,private room,80,2,42,2019-06-30,0.38,1,263,Budget
15711,2 bedroom - upper east side-great for kids,61491,d,manhattan,upper east side,40.77065,-73.95269,entire home/apt,250,2,66,2019-03-30,0.57,2,231,Luxury
16338,double room w private deck clinton hill best area,63613,patricia,brooklyn,clinton hill,40.69,-73.96788,private room,55,7,27,2017-09-30,0.23,2,292,Budget
16458,light-filled 2b duplex in the heart of park slope!,64056,sara,brooklyn,park slope,40.67343,-73.98338,entire home/apt,225,3,4,2017-09-24,0.16,1,0,Medium
16580,"sunny, modern room in east village!",64442,reka,manhattan,east village,40.72649,-73.97904,private room,80,1,338,2019-07-01,4.72,2,72,Budget
16595,*haven loft - entire floor - six windows - bricks*,64522,daniel,brooklyn,williamsburg,40.70933,-73.96792,entire home/apt,275,1,148,2019-06-23,1.4,1,362,Luxury
16821,large room in amazing east village apt,4396,casey,manhattan,east village,40.72298,-73.98474,private room,99,1,106,2019-06-21,1.26,2,336,Budget
16974,spaha loft: enormous and bright,65837,robin,manhattan,east harlem,40.80164,-73.93922,entire home/apt,225,4,190,2019-06-23,1.64,1,215,Medium
17037,lovely ev artist's home,66035,anna,manhattan,east village,40.72162,-73.98008,entire home/apt,230,9,49,2018-05-14,0.43,1,116,Medium
